run_id,stage,status,family,method,implementation,representative_fidelity,exact_method_reproduction,solution_type,best_epoch,actual_epochs,HR@5,HR@10,HR@20,HR@50,NDCG@5,NDCG@10,NDCG@20,NDCG@50,oracle_HR@10,oracle_NDCG@10,oracle_point_id,ranking_point_id,ranking_operating_point_selection,selection_is_validation_oracle,oracle_best_differs_from_ranking_operating_point,click_bce,long_bce,like_bce,profile_bce,wall_time_sec,peak_vram_bytes,model_count,backward_passes_per_batch,test_evaluated,test_evaluation_count,git_commit,source_json
stch_smoke_001,smoke,completed,loss_balancing,STCH,STCH,exact_or_close_reproduction,True,single,,1,,,,,,,,,,,,,,,,,,,,184.35056955739856,2420672512,1,1,False,0,3e985306dba5b2edc72b81e1e001c3d693b122f4,experiments/moo_8families/runs/stch_smoke_001.json
stch_sanity_001,sanity,completed,loss_balancing,STCH,STCH,exact_or_close_reproduction,True,single,5,5,0.0378,0.058,0.093,0.1632,0.0256,0.0321,0.0409,0.0547,0.058,0.0321,0,0,single_solution,False,False,0.6414832688190212,0.6048865167588253,0.1284583356404254,0.1635069809479184,230.17042639899591,2472282112,1,1,False,0,d2cc5e613ed4bf6a6c7a1475255f1bf7a4d7c8cd,experiments/moo_8families/runs/stch_sanity_001.json
famo_smoke_001,smoke,completed,gradient_weighting,FAMO,FAMO,exact_or_close_reproduction,True,single,,1,,,,,,,,,,,,,,,,,,,,184.2281304448843,2420673536,1,1,False,0,unknown,experiments/moo_8families/runs/famo_smoke_001.json
famo_sanity_001,sanity,completed,gradient_weighting,FAMO,FAMO,exact_or_close_reproduction,True,single,5,5,0.0423,0.066,0.1033,0.1785,0.0301,0.0377,0.0471,0.0619,0.066,0.0377,0,0,single_solution,False,False,0.6390757961893554,0.6040151393078577,0.12191487429739364,0.16470390556500772,362.0999268973246,2420673536,1,1,False,0,d2cc5e613ed4bf6a6c7a1475255f1bf7a4d7c8cd,experiments/moo_8families/runs/famo_sanity_001.json
pcgrad_001,historical,completed,gradient_manipulation,PCGrad,,,,single,9,19,0.0654,0.1082,0.1744,0.3089,0.0449,0.0586,0.0752,0.1018,0.1082,0.0586,historical_pcgrad,historical_pcgrad,single_solution,False,False,0.6410100227417436,0.605597033151669,0.11658003570032958,0.1726797283141231,,,,,False,0,6deef55ba64e1ead0982c18712c24d0277e2822e,experiments/moo_8families/runs/pcgrad_001.json
epo_smoke_001,smoke,completed,finite_preference_set,EPO,EPO,exact_or_close_reproduction,True,finite_set,,1,,,,,,,,,,,,,,,,,,,,170.3371396176517,2432410624,6,2,False,0,unknown,experiments/moo_8families/runs/epo_smoke_001.json
epo_sanity_001,sanity,completed,finite_preference_set,EPO,EPO,exact_or_close_reproduction,True,finite_set,4,5,0.0646,0.105,0.1684,0.2982,0.0449,0.0577,0.0737,0.0992,0.105,0.0577,rank_heavy,rank_heavy,predefined_preference_id:rank_heavy,False,False,0.7022483831735887,0.6579581994880171,0.5230842295043787,0.49087943487647956,2404.9921352680103,2482134016,6,2,False,0,d2cc5e613ed4bf6a6c7a1475255f1bf7a4d7c8cd,experiments/moo_8families/runs/epo_sanity_001.json
gradhv_smoke_001,smoke,completed,finite_no_preference_set,HV-Gradient / GradHV-style,HV-Gradient / GradHV-style,family-level adaptation,False,finite_set,,1,,,,,,,,,,,,,,,,,,,,226.20973122678697,5244496896,3,1,False,0,7af92d9770fe5dae2cedc1b5aa775a371df72440,experiments/moo_8families/runs/gradhv_smoke_001.json
gradhv_sanity_001,sanity,completed,finite_no_preference_set,HV-Gradient / GradHV-style,HV-Gradient / GradHV-style,family-level adaptation,False,finite_set,5,5,0.0524,0.0795,0.1259,0.231,0.0365,0.0452,0.0568,0.0775,0.0795,0.0452,0,0,best_validation_NDCG@10_among_preference_free_finite_solutions,True,False,0.6358976664759561,0.6015918160384743,0.132952088837056,0.16401147470111505,449.65215616500063,5297492992,3,1,False,0,d2cc5e613ed4bf6a6c7a1475255f1bf7a4d7c8cd,experiments/moo_8families/runs/gradhv_sanity_001.json
phn_smoke_001,smoke,completed,infinite_hypernetwork,PHN-adapter,PHN-adapter,family-level adaptation,False,continuous,,1,,,,,,,,,,,,,,,,,,,,165.44191628322005,2421269504,1,1,False,0,7af92d9770fe5dae2cedc1b5aa775a371df72440,experiments/moo_8families/runs/phn_smoke_001.json
phn_sanity_001,sanity,completed,infinite_hypernetwork,PHN-adapter,PHN-adapter,family-level adaptation,False,continuous,5,5,0.0412,0.063,0.097,0.1706,0.0289,0.0358,0.0444,0.0589,0.063,0.0359,click_heavy,rank_heavy,predefined_preference_id:rank_heavy,False,True,0.6421229415166643,0.6058967274657112,0.1396781765619781,0.16656443938438112,333.1743811760098,2421269504,1,1,False,0,d2cc5e613ed4bf6a6c7a1475255f1bf7a4d7c8cd,experiments/moo_8families/runs/phn_sanity_001.json
cosmos_smoke_001,smoke,completed,infinite_preference_conditioned,COSMOS-style,COSMOS-style direct preference conditioning,method-level adaptation,False,continuous,,1,,,,,,,,,,,,,,,,,,,,166.98530971445143,2422317056,1,1,False,0,7af92d9770fe5dae2cedc1b5aa775a371df72440,experiments/moo_8families/runs/cosmos_smoke_001.json
cosmos_sanity_001,sanity,completed,infinite_preference_conditioned,COSMOS-style,COSMOS-style direct preference conditioning,method-level adaptation,False,continuous,5,5,0.0487,0.0743,0.116,0.2056,0.0341,0.0423,0.0527,0.0704,0.0743,0.0423,rank_heavy,rank_heavy,predefined_preference_id:rank_heavy,False,False,0.6424374263633303,0.6069442559809611,0.1713916497769861,0.18715671642673454,333.2457863567397,2422317056,1,1,False,0,d2cc5e613ed4bf6a6c7a1475255f1bf7a4d7c8cd,experiments/moo_8families/runs/cosmos_sanity_001.json
palora_smoke_001,smoke,completed,infinite_model_combination,PaLoRA,PaLoRA low-rank adapter combination,method-level adaptation,False,continuous,,1,,,,,,,,,,,,,,,,,,,,171.49345065373927,2426233344,1,1,False,0,3e985306dba5b2edc72b81e1e001c3d693b122f4,experiments/moo_8families/runs/palora_smoke_001.json
palora_sanity_001,sanity,completed,infinite_model_combination,PaLoRA,PaLoRA low-rank adapter combination,method-level adaptation,False,continuous,5,5,0.04,0.0618,0.097,0.1731,0.0282,0.0352,0.044,0.059,0.0623,0.0354,balanced,rank_heavy,predefined_preference_id:rank_heavy,False,True,0.6387453893496097,0.6039527560827314,0.11979836283991926,0.16125886840743864,363.5848987773061,2426233344,1,1,False,0,d2cc5e613ed4bf6a6c7a1475255f1bf7a4d7c8cd,experiments/moo_8families/runs/palora_sanity_001.json
