scope,target_i,target_j,positive_i,positive_j,count_both_positive,p_j_given_i,p_i_given_j,jaccard
full_filtered,is_click,is_click,525448,525448,525448,1.0,1.0,1.0
full_filtered,is_click,long_view,525448,381514,379912,0.7230249234938567,0.9958009404635216,0.7208272459918413
full_filtered,is_click,is_like,525448,21170,18024,0.03430215739711637,0.851393481341521,0.03409800338255826
full_filtered,is_click,is_follow,525448,1119,1002,0.0019069441695467486,0.8954423592493298,0.001906519650281126
full_filtered,is_click,is_comment,525448,2918,2834,0.005393492790913658,0.9712131596984236,0.005392630705646849
full_filtered,is_click,is_forward,525448,1117,982,0.001868881411671564,0.8791405550581916,0.0018684013752347393
full_filtered,is_click,is_hate,525448,480,213,0.00040536837137071605,0.44375,0.00040516249298574325
full_filtered,is_click,is_profile_enter,525448,28819,27246,0.05185289505336399,0.9454179534334988,0.05169812967604707
full_filtered,is_click,strong_positive,525448,25209,21821,0.04152837197972016,0.8656035542861676,0.041262319509261854
full_filtered,is_click,explicit_positive,525448,51554,46663,0.08880612353648695,0.9051286030181945,0.08798711767378978
full_filtered,is_click,deep_engagement,525448,395325,389054,0.7404234101186036,0.9841371023841143,0.7316909871567501
full_filtered,long_view,is_click,381514,525448,379912,0.9958009404635216,0.7230249234938567,0.7208272459918413
full_filtered,long_view,long_view,381514,381514,381514,1.0,1.0,1.0
full_filtered,long_view,is_like,381514,21170,14315,0.03752155884187736,0.6761927255550307,0.03685927558584748
full_filtered,long_view,is_follow,381514,1119,792,0.0020759395461241266,0.707774798927614,0.002074161758428246
full_filtered,long_view,is_comment,381514,2918,2584,0.0067730148828090185,0.8855380397532556,0.006767090570069766
full_filtered,long_view,is_forward,381514,1117,753,0.0019737152502922566,0.6741271262309758,0.0019718339364928066
full_filtered,long_view,is_hate,381514,480,118,0.00030929402328617035,0.24583333333333332,0.0003090008274937414
full_filtered,long_view,is_profile_enter,381514,28819,22042,0.0577750750955404,0.7648426385370762,0.05676670332302319
full_filtered,long_view,strong_positive,381514,25209,17613,0.046166064679146766,0.6986790431988575,0.04526483513659377
full_filtered,long_view,explicit_positive,381514,51554,37743,0.09892952814313498,0.7321061411335686,0.0954733447163726
full_filtered,long_view,deep_engagement,381514,395325,381514,1.0,0.9650641876936698,0.9650641876936698
full_filtered,is_like,is_click,21170,525448,18024,0.851393481341521,0.03430215739711637,0.03409800338255826
