target,positive_rows_train,positive_items_train,share_items_with_positive_train,median_positives_per_item_id_among_positive,p95_positives_per_item_id_among_positive,total_items_train
is_click,502248,6878,0.9672338630291099,17.0,313.14999999999964,7111
long_view,364383,6523,0.9173112079876248,12.0,240.0,7111
is_like,20232,3414,0.48010125158205597,2.0,22.0,7111
is_follow,1046,703,0.09886091970187035,1.0,4.0,7111
is_comment,2818,1147,0.16129939530305162,1.0,7.0,7111
is_forward,1065,749,0.1053297707776684,1.0,3.0,7111
is_hate,458,365,0.051328927014484604,1.0,2.0,7111
is_profile_enter,27730,3637,0.5114611165799465,3.0,30.0,7111
strong_positive,24092,3737,0.5255238363099424,2.0,24.0,7111
explicit_positive,49458,4709,0.6622134720855013,3.0,42.0,7111
deep_engagement,377604,6618,0.9306707917311208,13.0,245.14999999999964,7111
