scope,field,field_origin,target_kind,rows,missing,non_null,unique_count,unique_values,positives,negatives,positive_rate,positive_rate_non_null,negative_positive_ratio,count,mean,median,std,p90,p95,p99,min,max
full_filtered,is_click,raw,binary,1134420,0,1134420,2,"[0, 1]",525448,608972,0.4631864741453783,0.4631864741453783,1.158957689438346,1134420,,,,,,,,
full_filtered,long_view,raw,binary,1134420,0,1134420,2,"[0, 1]",381514,752906,0.33630754041712946,0.33630754041712946,1.973468863527944,1134420,,,,,,,,
full_filtered,is_like,raw,binary,1134420,0,1134420,2,"[0, 1]",21170,1113250,0.01866151866151866,0.01866151866151866,52.58620689655172,1134420,,,,,,,,
full_filtered,is_follow,raw,binary,1134420,0,1134420,2,"[0, 1]",1119,1133301,0.0009864071507907125,0.0009864071507907125,1012.7801608579089,1134420,,,,,,,,
full_filtered,is_comment,raw,binary,1134420,0,1134420,2,"[0, 1]",2918,1131502,0.0025722395585409284,0.0025722395585409284,387.7662782727896,1134420,,,,,,,,
full_filtered,is_forward,raw,binary,1134420,0,1134420,2,"[0, 1]",1117,1133303,0.0009846441353290668,0.0009846441353290668,1014.5953446732319,1134420,,,,,,,,
full_filtered,is_hate,raw,binary,1134420,0,1134420,2,"[0, 1]",480,1133940,0.00042312371079494365,0.00042312371079494365,2362.375,1134420,,,,,,,,
full_filtered,is_profile_enter,raw,binary,1134420,0,1134420,2,"[0, 1]",28819,1105601,0.025404171294582254,0.025404171294582254,38.363614282244356,1134420,,,,,,,,
full_filtered,strong_positive,derived,binary,1134420,0,1134420,2,"[0, 1]",25209,1109211,0.02222192838631195,0.02222192838631195,44.0005950255861,1134420,,,,,,,,
full_filtered,explicit_positive,derived,binary,1134420,0,1134420,2,"[0, 1]",51554,1082866,0.0454452495548386,0.0454452495548386,21.00450013577996,1134420,,,,,,,,
full_filtered,deep_engagement,derived,binary,1134420,0,1134420,2,"[0, 1]",395325,739095,0.3484820436875231,0.3484820436875231,1.8695883134130147,1134420,,,,,,,,
full_filtered,play_time_ms,raw,continuous,1134420,0,1134420,141999,,,,,,,1134420,23187.549861603286,4964.0,43400.071064137876,69586.0,106739.05000000005,212365.43000000017,0.0,964774.0
full_filtered,duration_ms,raw,continuous,1134420,0,1134420,5462,,,,,,,1134420,97772.70777137215,70160.0,95396.42141927891,235301.0,286166.0,420483.0,0.0,1177720.0
full_filtered,play_ratio,derived,continuous,1134420,23810,1110610,897959,,,,,,,1110610,0.37086404580947807,0.10258809974401885,0.5859868960339479,1.0384091956430666,1.1576430030046005,2.100429191027452,0.0,58.03293657263982
full_filtered,profile_stay_time,raw,continuous,1134420,0,1134420,120,,,,,,,1134420,3.320525026004478,0.0,759.8499198315435,0.0,0.0,0.0,0.0,300000.0
