split,date,rows,positives,positive_rate,target
test,20220410,54,20,0.37037037037037035,is_click
test,20220411,64,37,0.578125,is_click
test,20220412,188,90,0.4787234042553192,is_click
test,20220413,296,156,0.527027027027027,is_click
test,20220414,471,226,0.47983014861995754,is_click
test,20220415,624,313,0.5016025641025641,is_click
test,20220416,1154,630,0.5459272097053726,is_click
test,20220417,2648,1487,0.5615558912386707,is_click
test,20220418,1954,1009,0.5163766632548619,is_click
test,20220419,2485,1184,0.47645875251509057,is_click
test,20220420,4415,2046,0.46342015855039637,is_click
test,20220421,9598,4443,0.46290893936236716,is_click
train,20220409,52544,23487,0.44699680267965897,is_click
train,20220410,226739,105993,0.4674669995016296,is_click
train,20220411,277290,126906,0.4576652601969058,is_click
train,20220412,164557,74932,0.45535589491787043,is_click
train,20220413,93192,41373,0.44395441668812774,is_click
train,20220414,69283,30886,0.4457947837131764,is_click
train,20220415,56561,28403,0.502165803292021,is_click
train,20220416,57166,29370,0.5137669243956198,is_click
train,20220417,37348,18256,0.4888079682981686,is_click
train,20220418,19734,8912,0.4516063646498429,is_click
train,20220419,14790,6559,0.4434753211629479,is_click
train,20220420,11963,4998,0.41778818022235226,is_click
train,20220421,5351,2173,0.40609231919267424,is_click
validation,20220410,74,48,0.6486486486486487,is_click
validation,20220411,191,99,0.518324607329843,is_click
validation,20220412,507,264,0.5207100591715976,is_click
validation,20220413,691,342,0.49493487698986977,is_click
validation,20220414,1044,505,0.4837164750957854,is_click
validation,20220415,1297,640,0.49344641480339246,is_click
validation,20220416,2145,1162,0.5417249417249417,is_click
validation,20220417,3578,1895,0.5296254891000559,is_click
validation,20220418,2597,1265,0.4871005005775895,is_click
validation,20220419,2929,1350,0.4609081597814954,is_click
validation,20220420,4170,1871,0.4486810551558753,is_click
validation,20220421,4728,2118,0.4479695431472081,is_click
test,20220410,54,19,0.35185185185185186,long_view
test,20220411,64,25,0.390625,long_view
test,20220412,188,64,0.3404255319148936,long_view
test,20220413,296,122,0.41216216216216217,long_view
test,20220414,471,176,0.37367303609341823,long_view
test,20220415,624,237,0.3798076923076923,long_view
test,20220416,1154,465,0.40294627383015597,long_view
test,20220417,2648,1119,0.422583081570997,long_view
test,20220418,1954,746,0.38178096212896623,long_view
test,20220419,2485,894,0.35975855130784706,long_view
test,20220420,4415,1514,0.34292185730464325,long_view
test,20220421,9598,3189,0.33225672015003127,long_view
train,20220409,52544,17656,0.3360231425091352,long_view
train,20220410,226739,77293,0.3408897454782812,long_view
train,20220411,277290,92275,0.3327743517616935,long_view
train,20220412,164557,54579,0.3316723080756212,long_view
train,20220413,93192,29441,0.3159176753369388,long_view
train,20220414,69283,22017,0.3177835832743963,long_view
train,20220415,56561,20498,0.3624051908558901,long_view
train,20220416,57166,21431,0.37489066927894205,long_view
train,20220417,37348,13307,0.3562975259719396,long_view
