target,train_positive_rate,validation_positive_rate,test_positive_rate,validation_minus_train,test_minus_train,max_minus_min_across_splits
is_click,0.46225465201680965,0.4826103294225711,0.48603398605486203,0.02035567740576144,0.02377933403805238,0.02377933403805238
long_view,0.3353676607290445,0.3574381027932028,0.3578138699845518,0.022070442064158313,0.022446209255507277,0.022446209255507277
is_like,0.018620952437051204,0.01958164586029811,0.01958164586029811,0.0009606934232469048,0.0009606934232469048,0.0009606934232469048
is_follow,0.000962708395074909,0.001169053484196902,0.001878835956745021,0.0002063450891219929,0.000916127561670112,0.000916127561670112
is_comment,0.002593606364551715,0.0020875955074944677,0.0020875955074944677,-0.0005060108570572471,-0.0005060108570572471,0.0005060108570572471
is_forward,0.0009801954500523692,0.0009602939334474553,0.0012108053943467915,-1.9901516604913915e-05,0.00023060994429442228,0.0002505114608993362
is_hate,0.00042153006208824886,0.00045927101164878293,0.00045927101164878293,3.774094956053407e-05,3.774094956053407e-05,3.774094956053407e-05
is_profile_enter,0.025521896553945725,0.023673333054987266,0.021794497098242244,-0.0018485634989584589,-0.003727399455703481,0.003727399455703481
strong_positive,0.022173585711419416,0.022963550582439148,0.023673333054987266,0.0007899648710197327,0.0014997473435678504,0.0014997473435678504
explicit_positive,0.04551972447764326,0.044507536219782054,0.04300446745438604,-0.0010121882578612088,-0.0025152570232572224,0.0025152570232572224
deep_engagement,0.347535889879413,0.3704646987599683,0.36942090100622105,0.022928808880555318,0.021885011126808074,0.022928808880555318
