target,positive_rows_train,positive_users_train,share_users_with_positive_train,median_positives_per_user_id_among_positive,p95_positives_per_user_id_among_positive,total_users_train
is_click,502248,23591,0.9849693123460398,15.0,61.0,23951
long_view,364383,23204,0.9688113231180326,11.0,45.0,23951
is_like,20232,5503,0.22976076155484113,2.0,14.0,23951
is_follow,1046,784,0.03273349755751326,1.0,3.0,23951
is_comment,2818,1834,0.07657300321489709,1.0,4.0,23951
is_forward,1065,794,0.03315101665901215,1.0,2.0,23951
is_hate,458,246,0.010270969896872782,1.0,5.0,23951
is_profile_enter,27730,10039,0.41914742599473925,2.0,8.0,23951
strong_positive,24092,7027,0.2933906726232725,2.0,13.0,23951
explicit_positive,49458,12746,0.5321698467704897,2.0,12.0,23951
deep_engagement,377604,23255,0.970940670535677,12.0,47.0,23951
