record_type,source,run_id,model,model_variant,dataset,protocol,split,evaluation,status,parent_run,source_paper,paper_version,seed,train_candidates,item_universe,HR@5,HR@10,HR@20,HR@50,Recall@5,Recall@10,Recall@20,Recall@50,NDCG@5,NDCG@10,NDCG@20,NDCG@50,best_epoch,actual_epochs,validation_ndcg10,test_evaluation_count,git_commit,notes_path,trials_complete,trials_pruned,trials_failed,best_trial,best_validation_NDCG@10,test_used,source_json
experiment,ours,random_002,Random,full_ranking_history,KuaiRand,B,test,full_7111_items,completed,,,,,sampled_100,7111,0.0006680305623982297,0.00129430921464657,0.003006137530792034,0.007640599557429752,0.0006680305623982297,0.00129430921464657,0.003006137530792034,0.007640599557429752,0.0003645872892101673,0.0005618258840094757,0.0009829844126440603,0.001879637864802375,,,0.0004416858505128215,1,e9a7a4e3484f438431495820280c61f10bf83919,,,,,,,,experiments/ltr_xgb_baseline/runs/random_002.json
experiment,ours,mostpop_002,MostPopular,full_ranking_history,KuaiRand,B,test,full_7111_items,completed,,,,,not_applicable,7111,0.02217026428959125,0.029518600475971775,0.06008099870569079,0.10304371424992693,0.02217026428959125,0.029518600475971775,0.06008099870569079,0.10304371424992693,0.01435409636060013,0.01667747748169395,0.024266759078028197,0.03268254010537256,,,0.016763898155764186,1,e9a7a4e3484f438431495820280c61f10bf83919,,,,,,,,experiments/ltr_xgb_baseline/runs/mostpop_002.json
experiment,ours,ltr_xgb_002,XGBoost LambdaMART,baseline_full_ranking,KuaiRand,B,test,full_7111_items,completed,,,,,sampled_100,7111,0.01945639012984844,0.031397436432716794,0.0556970481399524,0.09991232098868523,0.01945639012984844,0.031397436432716794,0.0556970481399524,0.09991232098868523,0.01108548506417911,0.015003374204744816,0.02094622001262514,0.029735186005941133,,,0.014971581041018362,1,e9a7a4e3484f438431495820280c61f10bf83919,,,,,,,,experiments/ltr_xgb_baseline/runs/ltr_xgb_002.json
experiment,ours,ltr_xgb_optuna_001,XGBoost LambdaMART,tuned_optuna,KuaiRand,B,test,full_7111_items,completed,optuna_search_001,,,42,sampled_100,7111,0.022587783391090143,0.033318024299611705,0.05736712454594798,0.1043797753747234,0.022587783391090143,0.033318024299611705,0.05736712454594798,0.1043797753747234,0.014302534494268012,0.01771234512774712,0.02371335288460933,0.033026114308798066,,,0.01840697391006673,1,e047668cb6a89079e7d94f3bdb437202bb08e003,,,,,,,,experiments/ltr_xgb_optuna/runs/ltr_xgb_optuna_001.json
experiment,ours,ssd4rec_001,SSD4Rec,reproduction,KuaiRand,B,test,full_7111_items,completed,,,,2024,full_sequence,7111,0.0648,0.1032,0.1683,0.3014,0.0648,0.1032,0.1683,0.3014,0.0453,0.0576,0.0739,0.1002,17,28,0.0603,1,,,,,,,,,experiments/ssd4rec_baseline/runs/ssd4rec_001.json
experiment,ours,tim4rec_001,TiM4Rec,reproduction,KuaiRand,B,test,full_7111_items,completed,,,,2026,full_sequence,7111,0.0683,0.1053,0.1696,0.3031,0.0683,0.1053,0.1696,0.3031,0.0479,0.0598,0.0759,0.1022,12,23,0.0593,1,1301e2581295bb86f1ea9582ed38a9edfd1149fa,,,,,,,,experiments/tim4rec_baseline/runs/tim4rec_001.json
experiment,ours,multitask_tim4rec_001,MultitaskTiM4Rec,fixed_loss,KuaiRand,B,test,full_7111_items,completed,tim4rec_001,,,,full_sequence,7111,0.0651,0.1041,0.1663,0.3025,0.0651,0.1041,0.1663,0.3025,0.0456,0.0581,0.0738,0.1006,14,25,0.058,1,96c346a1d82a6da8b5300dd9e3f83df76e1e8ee7,,,,,,,,experiments/multitask_tim4rec/runs/multitask_tim4rec_001.json
experiment,ours,multitask_tim4rec_tuned_001,MultitaskTiM4Rec,tuned_fixed_weights,KuaiRand,B,test,full_7111_items,completed,multitask_optuna_search_001,,,,full_sequence,7111,0.0665,0.1071,0.1746,0.3138,0.0665,0.1071,0.1746,0.3138,0.0469,0.0598,0.0767,0.1042,16,21,0.0589,1,1cc6b5b5ae26be8fd22e2e3b5adc1660d98137cd,,,,,,,,experiments/multitask_tim4rec_optuna/runs/multitask_tim4rec_tuned_001.json
experiment_validation_only,ours,pcgrad_001,MultitaskTiM4Rec,adaptive_pcgrad_ranking_anchored_full,KuaiRand,B,validation,full_7111_items,completed,multitask_tim4rec_tuned_001,,,,full_sequence,7111,0.0654,0.1082,0.1744,0.3089,0.0654,0.1082,0.1744,0.3089,0.0449,0.0586,0.0752,0.1018,9,19,0.0586,0,unknown,,,,,,,,experiments/adaptive_multitask_tim4rec/runs/pcgrad_001.json
search,ours,multitask_optuna_search_001,MultitaskTiM4Rec,optuna_search,KuaiRand,B,validation,full_7111_items,completed,multitask_tim4rec_001,,,,full_sequence,7111,0.0669,0.1093,0.1722,0.3136,0.0669,0.1093,0.1722,0.3136,0.0463,0.0599,0.0757,0.1036,,,0.0599,0,6cfc11b7fcc9fb9d444eaa0773091dbbe82f9103,,60,61,0,110,0.0599,no,experiments/multitask_tim4rec_optuna/runs/multitask_optuna_search_001.json
convergence_screening,ours,stch_convergence_001,MultitaskTiM4Rec,moo_8families_STCH,KuaiRand,B,validation,full_7111_items,completed,multitask_tim4rec_tuned_001,,,2026,full_sequence,7111,0.0476,0.0749,0.1163,0.2082,,,,,0.0336,0.0424,0.0528,0.0709,80,95,0.0424,0,40a748b6a4f75a041d82951c61739c7f2d2f78bf,,,,,,,no,experiments/moo_8families/runs/stch_convergence_001.json
convergence_screening,ours,famo_convergence_001,MultitaskTiM4Rec,moo_8families_FAMO,KuaiRand,B,validation,full_7111_items,completed,multitask_tim4rec_tuned_001,,,2026,full_sequence,7111,0.0472,0.0719,0.1102,0.1935,,,,,0.0332,0.0412,0.0508,0.0672,15,30,0.0412,0,40a748b6a4f75a041d82951c61739c7f2d2f78bf,,,,,,,no,experiments/moo_8families/runs/famo_convergence_001.json
convergence_screening,ours,pcgrad_convergence_001,MultitaskTiM4Rec,moo_8families_PCGrad,KuaiRand,B,validation,full_7111_items,completed,multitask_tim4rec_tuned_001,,,2026,full_sequence,7111,0.0496,0.079,0.1259,0.2253,,,,,0.035,0.0444,0.0562,0.0757,25,40,0.0444,0,40a748b6a4f75a041d82951c61739c7f2d2f78bf,,,,,,,no,experiments/moo_8families/runs/pcgrad_convergence_001.json
convergence_screening,ours,epo_convergence_001,MultitaskTiM4Rec,moo_8families_EPO,KuaiRand,B,validation,full_7111_items,completed,multitask_tim4rec_tuned_001,,,2026,full_sequence,7111,0.0644,0.1078,0.1767,0.3171,,,,,0.0445,0.0584,0.0756,0.1033,15,30,0.0584,0,40a748b6a4f75a041d82951c61739c7f2d2f78bf,,,,,,,no,experiments/moo_8families/runs/epo_convergence_001.json
