policy,signal,interactions,unique_values,min_value,max_value,missing_count,invalid_count
random,is_click,1186059,2,0,1,0,0
random,is_comment,1186059,2,0,1,0,0
random,is_follow,1186059,2,0,1,0,0
random,is_forward,1186059,2,0,1,0,0
random,is_hate,1186059,2,0,1,0,0
random,is_like,1186059,2,0,1,0,0
random,is_profile_enter,1186059,2,0,1,0,0
random,long_view,1186059,2,0,1,0,0
standard,is_click,322278385,2,0,1,0,0
standard,is_comment,322278385,2,0,1,0,0
standard,is_follow,322278385,2,0,1,0,0
standard,is_forward,322278385,2,0,1,0,0
standard,is_hate,322278385,2,0,1,0,0
standard,is_like,322278385,2,0,1,0,0
standard,is_profile_enter,322278385,2,0,1,0,0
standard,long_view,322278385,2,0,1,0,0
