policy,date,interactions,users,items,is_click_rate,long_view_rate,is_like_rate
standard,20220408,9864349,24504,2088111,0.3744024060786981,0.2565267104803368,0.016567438966322054
standard,20220409,10870341,24827,2212763,0.3840459098753204,0.264094567042561,0.017472864926684453
standard,20220410,10749052,24900,2212395,0.3779829142142023,0.2592312326705648,0.01713006877257641
standard,20220411,9527164,23896,2103366,0.36695337668166517,0.25132526321579013,0.015567171930702568
standard,20220412,9346113,23766,2086942,0.3696589159578961,0.25335955171952235,0.015688019179738142
standard,20220413,9189352,23784,2088858,0.3700078090381128,0.25318662295230393,0.015729509545395585
standard,20220414,9187522,23829,2085217,0.3748197827444658,0.26039415198135035,0.01526178658402124
standard,20220415,9460878,24826,2086171,0.39230249031855186,0.27317612593672597,0.016820954672494455
standard,20220416,10703081,25230,2221443,0.4016251021551645,0.2790338595026983,0.01900144453732528
standard,20220417,10590283,25310,2252864,0.39551917545546234,0.2747624402482918,0.018116513033693243
standard,20220418,9045197,24054,2088990,0.37889202413170214,0.26272197277737563,0.015046549013802575
standard,20220419,8994629,23886,2032957,0.3846717857957232,0.2674091393875167,0.014891108905103256
standard,20220420,9304296,23986,2085967,0.37744564446358975,0.2612148194769384,0.0150269294957942
standard,20220421,9464319,24028,2113276,0.3776643623276012,0.2603098014764718,0.01497593223558927
random,20220422,24849,7131,7239,0.1713952271721196,0.08237756046520987,0.004990140448307779
standard,20220422,10076696,25182,2173943,0.38168264677231506,0.2616250405887009,0.01704824676659889
random,20220423,52359,10145,7462,0.17477415535056054,0.08630798907542162,0.005003915277220726
standard,20220423,11621565,25503,2408640,0.38875340799625524,0.2667046133631744,0.017929771076442804
random,20220424,44441,9422,7444,0.16608537161630027,0.0799261942800567,0.004072815643212349
standard,20220424,10137480,24767,2280286,0.3718236682094564,0.2545847686012697,0.015270067117271748
random,20220425,41837,9135,7397,0.16416091019910606,0.0776824342089538,0.0043980208905992305
standard,20220425,9775971,24236,2234987,0.3770205537639177,0.2613786395233783,0.015139058820857795
random,20220426,42367,9054,7385,0.16111596289564992,0.07760757193098403,0.004555432294002407
standard,20220426,9756170,24178,2169528,0.37853983684171144,0.26306829421791544,0.014952383978548959
random,20220427,41737,9031,7363,0.1654646955938376,0.08069578551405228,0.00479191125380358
standard,20220427,9838184,24258,2187132,0.378493530919934,0.2622014388021204,0.015204330392682227
random,20220428,40748,8943,7338,0.16562776087169923,0.07862962599391381,0.004834593108864239
standard,20220428,9943504,24400,2245206,0.37302262864278024,0.25761180364587777,0.01517593797920733
random,20220429,49595,11855,7331,0.16824276640790403,0.08002822865208187,0.004879524145579192
standard,20220429,10843757,25688,2345829,0.3760772212066353,0.2575480988738497,0.01721838657948532
random,20220430,62716,13935,7334,0.17064226034823649,0.0820524268129345,0.004767523438994834
standard,20220430,12573232,26024,2510187,0.3880635464294304,0.26560744285956067,0.019007841420567124
random,20220501,62044,13845,7326,0.17074979047127845,0.08086196892527883,0.004367867964670234
standard,20220501,12514718,26026,2525565,0.3776960855210641,0.2570947263853648,0.01819881199080954
random,20220502,85874,16356,7318,0.17675897244800523,0.08398351072501573,0.005123786012064187
standard,20220502,12096604,25947,2495435,0.37497292628575757,0.25511589864395,0.018102270686880383
random,20220503,109627,18063,7297,0.18292026599286673,0.08917511197059119,0.004852819104782581
standard,20220503,11999564,25904,2506430,0.37562981454992866,0.2557586258967409,0.01801682127783976
random,20220504,108543,17874,7289,0.18239775941332007,0.08780851828307676,0.004974986871562422
standard,20220504,11603464,25854,2471059,0.3760760579771696,0.2571599308620253,0.017757111152324857
random,20220505,97170,16704,7272,0.17972625295873212,0.0871050735823814,0.004445816610064835
standard,20220505,10431720,24907,2390636,0.3666813334713738,0.2512721775507778,0.01531444478954573
random,20220506,103245,16696,7262,0.1846578526805172,0.0910165141169064,0.00468787834761974
standard,20220506,10540891,24784,2472288,0.36783029062723444,0.25295423318579047,0.015519655786213898
random,20220507,103982,17287,7229,0.18198342020734357,0.08750552980323517,0.004683502913965879
standard,20220507,10713828,25552,2459050,0.37743223057155667,0.25814666802565805,0.017511108074536944
random,20220508,114925,17466,7214,0.17987383075919078,0.08640417663693713,0.005420926691320427
standard,20220508,11514461,25685,2520598,0.37973761863451533,0.2596252660024642,0.01811113868030818
