policy,date,interactions,duration_null_count,duration_zero_count,duration_negative_count,duration_non_positive_count,affected_users,affected_videos,duration_null_share,duration_zero_share,duration_negative_share,duration_non_positive_share
random,20220422,24849,0,796,0,796,711,227,0.0,0.03203348223268542,0.0,0.03203348223268542
random,20220423,52359,0,1619,0,1619,1322,233,0.0,0.030921140587100594,0.0,0.030921140587100594
random,20220424,44441,0,1461,0,1461,1189,233,0.0,0.03287504781620575,0.0,0.03287504781620575
random,20220425,41837,0,1363,0,1363,1135,233,0.0,0.03257881779286278,0.0,0.03257881779286278
random,20220426,42367,0,1358,0,1358,1112,231,0.0,0.032053248990959946,0.0,0.032053248990959946
random,20220427,41737,0,1254,0,1254,1060,229,0.0,0.030045283561348442,0.0,0.030045283561348442
random,20220428,40748,0,1271,0,1271,1081,226,0.0,0.03119171493079415,0.0,0.03119171493079415
random,20220429,49595,0,1541,0,1541,1309,227,0.0,0.031071680612965016,0.0,0.031071680612965016
random,20220430,62716,0,1985,0,1985,1681,227,0.0,0.03165061547292557,0.0,0.03165061547292557
random,20220501,62044,0,1932,0,1932,1644,228,0.0,0.031139191541486685,0.0,0.031139191541486685
random,20220502,85874,0,2705,0,2705,2236,227,0.0,0.031499639005985514,0.0,0.031499639005985514
random,20220503,109627,0,3425,0,3425,2774,224,0.0,0.031242303447143495,0.0,0.031242303447143495
random,20220504,108543,0,3412,0,3412,2776,223,0.0,0.031434546677353674,0.0,0.031434546677353674
random,20220505,97170,0,2976,0,2976,2483,222,0.0,0.030626736647113306,0.0,0.030626736647113306
random,20220506,103245,0,3188,0,3188,2599,221,0.0,0.03087800862027217,0.0,0.03087800862027217
random,20220507,103982,0,3201,0,3201,2676,218,0.0,0.030784174183993384,0.0,0.030784174183993384
random,20220508,114925,0,3433,0,3433,2785,218,0.0,0.029871655427452688,0.0,0.029871655427452688
standard,20220408,9864349,0,896651,0,896651,21974,280833,0.0,0.09089814239135294,0.0,0.09089814239135294
standard,20220409,10870341,0,1061917,0,1061917,22382,320914,0.0,0.09768939171273468,0.0,0.09768939171273468
standard,20220410,10749052,0,1028871,0,1028871,22468,323995,0.0,0.09571737116910403,0.0,0.09571737116910403
standard,20220411,9527164,0,860473,0,860473,21425,275290,0.0,0.09031785324572979,0.0,0.09031785324572979
standard,20220412,9346113,0,832416,0,832416,21458,262061,0.0,0.08906547566886898,0.0,0.08906547566886898
standard,20220413,9189352,0,827370,0,827370,21400,265494,0.0,0.09003572830815491,0.0,0.09003572830815491
standard,20220414,9187522,0,759123,0,759123,21004,267487,0.0,0.08262543480167993,0.0,0.08262543480167993
standard,20220415,9460878,0,758574,0,758574,21171,278295,0.0,0.08018008476591708,0.0,0.08018008476591708
standard,20220416,10703081,0,949552,0,949552,21652,329418,0.0,0.08871763186693626,0.0,0.08871763186693626
standard,20220417,10590283,0,921766,0,921766,21823,325514,0.0,0.08703884494871383,0.0,0.08703884494871383
standard,20220418,9045197,0,720104,0,720104,20502,263071,0.0,0.07961175417185497,0.0,0.07961175417185497
standard,20220419,8994629,0,665559,0,665559,20289,238957,0.0,0.07399515866635523,0.0,0.07399515866635523
standard,20220420,9304296,0,688620,0,688620,20540,242957,0.0,0.07401097299570004,0.0,0.07401097299570004
standard,20220421,9464319,0,667399,0,667399,20563,241038,0.0,0.07051738218037663,0.0,0.07051738218037663
standard,20220422,10076696,0,794813,0,794813,21832,270797,0.0,0.07887634994645071,0.0,0.07887634994645071
standard,20220423,11621565,0,1026564,0,1026564,22604,343489,0.0,0.0883326815278321,0.0,0.0883326815278321
standard,20220424,10137480,0,820075,0,820075,21410,294316,0.0,0.08089535071832447,0.0,0.08089535071832447
standard,20220425,9775971,0,759914,0,759914,20870,271448,0.0,0.07773284106509727,0.0,0.07773284106509727
standard,20220426,9756170,0,748111,0,748111,20866,266696,0.0,0.07668080814499953,0.0,0.07668080814499953
standard,20220427,9838184,0,765053,0,765053,20851,270556,0.0,0.07776364011894878,0.0,0.07776364011894878
standard,20220428,9943504,0,773308,0,773308,20966,277675,0.0,0.07777017035443441,0.0,0.07777017035443441
standard,20220429,10843757,0,891279,0,891279,22433,314344,0.0,0.08219282302250042,0.0,0.08219282302250042
standard,20220430,12573232,0,1142519,0,1142519,22778,390981,0.0,0.09086915758812054,0.0,0.09086915758812054
standard,20220501,12514718,0,1141928,0,1141928,22900,392715,0.0,0.09124680236502333,0.0,0.09124680236502333
standard,20220502,12096604,0,1112828,0,1112828,22800,385512,0.0,0.09199507564271757,0.0,0.09199507564271757
standard,20220503,11999564,0,1090674,0,1090674,23037,383104,0.0,0.0908928024384886,0.0,0.0908928024384886
standard,20220504,11603464,0,1014434,0,1014434,22923,362737,0.0,0.08742509995291062,0.0,0.08742509995291062
standard,20220505,10431720,0,833421,0,833421,21566,309244,0.0,0.07989296108407817,0.0,0.07989296108407817
standard,20220506,10540891,0,803459,0,803459,21416,297168,0.0,0.07622306311677068,0.0,0.07622306311677068
standard,20220507,10713828,0,888892,0,888892,22213,319048,0.0,0.08296679767493001,0.0,0.08296679767493001
standard,20220508,11514461,0,1028339,0,1028339,22633,349662,0.0,0.0893084791376687,0.0,0.0893084791376687
