policy,tab,interactions,duration_null_count,duration_zero_count,duration_negative_count,duration_non_positive_count,affected_users,affected_videos,duration_null_share,duration_zero_share,duration_negative_share,duration_non_positive_share
random,1,1178025,0,36632,0,36632,15296,238,0.0,0.03109611425903525,0.0,0.03109611425903525
random,2,764,0,30,0,30,28,29,0.0,0.03926701570680628,0.0,0.03926701570680628
random,11,6755,0,239,0,239,144,154,0.0,0.03538119911176906,0.0,0.03538119911176906
random,14,515,0,19,0,19,12,19,0.0,0.036893203883495145,0.0,0.036893203883495145
standard,0,63923841,0,8838776,0,8838776,22048,3657670,0.0,0.13827041463293796,0.0,0.13827041463293796
standard,1,215925023,0,16767533,0,16767533,27026,3778868,0.0,0.07765442266503776,0.0,0.07765442266503776
standard,2,9949649,0,747285,0,747285,3618,341531,0.0,0.075106669592063,0.0,0.075106669592063
standard,3,957605,0,49582,0,49582,7947,10481,0.0,0.05177708971862093,0.0,0.05177708971862093
standard,4,24510543,0,682697,0,682697,15298,218291,0.0,0.027853197703535167,0.0,0.027853197703535167
standard,5,429129,0,11980,0,11980,1121,3599,0.0,0.027917013299031294,0.0,0.027917013299031294
standard,6,5268393,0,157726,0,157726,12323,10671,0.0,0.029938161408991318,0.0,0.029938161408991318
standard,7,114704,0,5568,0,5568,330,4681,0.0,0.04854233505370344,0.0,0.04854233505370344
standard,8,478050,0,0,0,0,0,0,0.0,0.0,0.0,0.0
standard,9,60678,0,0,0,0,0,0,0.0,0.0,0.0,0.0
standard,10,23722,0,0,0,0,0,0,0.0,0.0,0.0,0.0
standard,11,217754,0,12122,0,12122,308,10097,0.0,0.055668322969956927,0.0,0.055668322969956927
standard,12,332086,0,0,0,0,0,0,0.0,0.0,0.0,0.0
standard,13,72217,0,0,0,0,0,0,0.0,0.0,0.0,0.0
standard,14,14991,0,737,0,737,42,726,0.0,0.04916283103195251,0.0,0.04916283103195251
