policy,signal,interactions,positive_count,positive_rate,missing_count
random,is_click,1186059,208934.0,0.1761581843736273,0
random,is_comment,1186059,411.0,0.00034652576305225965,0
random,is_follow,1186059,310.0,0.0002613697969493929,0
random,is_forward,1186059,402.0,0.0003389376076569547,0
random,is_hate,1186059,1351.0,0.0011390664376729994,0
random,is_like,1186059,5691.0,0.0047982435949645,0
random,is_profile_enter,1186059,6597.0,0.005562117904758532,0
random,long_view,1186059,100769.0,0.08496120344772055,0
standard,is_click,322278385,122052542.0,0.37871774118515583,0
standard,is_comment,322278385,810580.0,0.002515154716317695,0
standard,is_follow,322278385,343328.0,0.0010653150070861874,0
standard,is_forward,322278385,280970.0,0.0008718239046655269,0
standard,is_hate,322278385,156233.0,0.000484776538767873,0
standard,is_like,322278385,5366646.0,0.016652205825097455,0
standard,is_profile_enter,322278385,5777660.0,0.0179275442254683,0
standard,long_view,322278385,83936743.0,0.2604479447171116,0
