policy,hour,interactions
random,0,42023
random,1,25563
random,2,16515
random,3,11291
random,4,9843
random,5,13512
random,6,26459
random,7,39262
random,8,47300
random,9,51066
random,10,56081
random,11,57337
random,12,60615
random,13,58036
random,14,57189
random,15,58537
random,16,62254
random,17,64259
random,18,68607
random,19,69848
random,20,73686
random,21,73675
random,22,79023
random,23,64078
standard,0,10624659
standard,1,6462822
standard,2,4132020
standard,3,2911135
standard,4,2617287
standard,5,3692549
standard,6,6873534
standard,7,9968651
standard,8,11545430
standard,9,12947165
standard,10,14427110
standard,11,15441567
standard,12,17029465
standard,13,17132315
standard,14,15454700
standard,15,15767584
standard,16,16594065
standard,17,17525682
standard,18,18844519
standard,19,19871032
standard,20,21315043
standard,21,22117433
standard,22,21859219
standard,23,17123399
