scope,policy,user_id,interactions,unique_videos,first_date,last_date,first_time_ms,last_time_ms
all,,21695,228030,218796,20220408,20220508,1649349610420,1652019432375
all,,7456,194005,173226,20220408,20220508,1649346654053,1652025096503
all,,1025,193490,184004,20220408,20220508,1649366710449,1652018666877
all,,17244,186924,182512,20220408,20220508,1649381279364,1652022876991
all,,12566,183945,176778,20220408,20220508,1649371186241,1652019887654
all,,3180,182919,174507,20220408,20220507,1649364885479,1651857546194
all,,11527,177627,147319,20220408,20220508,1649349532917,1652015721781
all,,22287,175793,162183,20220408,20220508,1649346706083,1652022620122
all,,10494,161367,145990,20220408,20220508,1649372772541,1652021611033
all,,18703,161040,155573,20220408,20220508,1649371282231,1651991672742
random,random,1867,1580,1580,20220422,20220508,1650612884013,1652024965791
random,random,10849,1439,1439,20220422,20220508,1650613336255,1652019794239
random,random,20075,1331,1331,20220422,20220508,1650629027707,1652018455545
random,random,15518,1184,1184,20220422,20220508,1650611811108,1652012426784
random,random,25583,1157,1157,20220422,20220508,1650617932154,1652019172808
random,random,22302,1093,1093,20220422,20220508,1650615813896,1652024358739
random,random,10958,914,914,20220422,20220508,1650615027258,1651999757124
random,random,21729,874,874,20220422,20220508,1650601337958,1652014829813
random,random,26595,867,867,20220422,20220508,1650630055265,1652019683282
random,random,18210,762,762,20220422,20220508,1650613813977,1652014522519
standard,standard,21695,228000,218767,20220408,20220508,1649349610420,1652019432375
standard,standard,7456,193995,173216,20220408,20220508,1649346654053,1652025096503
standard,standard,1025,193465,183979,20220408,20220508,1649366710449,1652018666877
standard,standard,17244,186913,182501,20220408,20220508,1649381279364,1652022876991
standard,standard,12566,183679,176512,20220408,20220508,1649371186241,1652019887654
standard,standard,3180,182904,174492,20220408,20220507,1649364885479,1651857546194
standard,standard,11527,177486,147179,20220408,20220508,1649349532917,1652015721781
standard,standard,22287,175612,162004,20220408,20220508,1649346706083,1652022620122
standard,standard,10494,161354,145977,20220408,20220508,1649372772541,1652021611033
standard,standard,18703,161001,155534,20220408,20220508,1649371282231,1651991672742
