policy,user_id,interactions,unique_videos,first_time_ms,last_time_ms,first_date,last_date
random,0,63,63,1651314030792,1652017525086,20220430,20220508
random,1,22,22,1650839585601,1652023255023,20220425,20220508
random,2,48,48,1650631589489,1651758933592,20220422,20220505
random,3,78,78,1651238307667,1652016967712,20220429,20220508
random,4,58,58,1650806748347,1652017390381,20220424,20220508
random,5,154,154,1650623675181,1652014896236,20220422,20220508
random,6,60,60,1650623456626,1651979400700,20220422,20220508
random,7,14,14,1650711384887,1651986395513,20220423,20220508
random,8,49,49,1650615666986,1652016677836,20220422,20220508
random,9,15,15,1651068836803,1652022305135,20220427,20220508
random,10,97,97,1651100856516,1651968623868,20220428,20220508
random,11,89,89,1650627719660,1651982980188,20220422,20220508
random,12,14,14,1651657911463,1651943182889,20220504,20220508
random,13,23,23,1650733755264,1651639877342,20220424,20220504
random,14,15,15,1650627329769,1651874045253,20220422,20220507
random,15,14,14,1650849433521,1651663612051,20220425,20220504
random,16,12,12,1651507531316,1651834062441,20220503,20220506
random,17,14,14,1650719424948,1651993484926,20220423,20220508
random,18,21,21,1651751298365,1651992646746,20220505,20220508
random,19,18,18,1650646127545,1652018661594,20220423,20220508
random,20,22,22,1651487784425,1651900133543,20220502,20220507
random,21,17,17,1650638952127,1651745908136,20220422,20220505
random,22,12,12,1650638458843,1652016889567,20220422,20220508
random,23,10,10,1650626101911,1651989269718,20220422,20220508
random,24,15,15,1650645777382,1651979355479,20220423,20220508
random,25,97,97,1650630407492,1652015995084,20220422,20220508
random,26,25,25,1651652110873,1652017735328,20220504,20220508
random,27,132,132,1650711299315,1652017373665,20220423,20220508
random,28,85,85,1650628194585,1651833998838,20220422,20220506
random,29,21,21,1650720399864,1652022685199,20220423,20220508
random,30,20,20,1651348102695,1651958654176,20220501,20220508
random,31,103,103,1650621039182,1652015340997,20220422,20220508
random,32,12,12,1651269091919,1651702413491,20220430,20220505
random,33,35,35,1651835322592,1651972107487,20220506,20220508
random,34,78,78,1651233662971,1651976177109,20220429,20220508
random,35,25,25,1650721872265,1651929473117,20220423,20220507
random,36,14,14,1651495781093,1651977806616,20220502,20220508
random,37,41,41,1650636144934,1652008871851,20220422,20220508
random,38,57,57,1650626172217,1652004332386,20220422,20220508
random,39,19,19,1650732536325,1651798501956,20220424,20220506
random,40,52,52,1651321096341,1651717798148,20220430,20220505
random,41,14,14,1651743255356,1652015843905,20220505,20220508
random,42,31,31,1650726835381,1652018287230,20220423,20220508
random,43,12,12,1650615928236,1652009427458,20220422,20220508
random,44,12,12,1650611465144,1651714135931,20220422,20220505
random,45,288,288,1650706632115,1652010093851,20220423,20220508
random,46,18,18,1651322396355,1651934980915,20220430,20220507
random,47,12,12,1650630790312,1651759198520,20220422,20220505
random,48,33,33,1651366738336,1651831480931,20220501,20220506
random,49,19,19,1651744277491,1651928974646,20220505,20220507
random,50,154,154,1650629167102,1651742079867,20220422,20220505
random,51,29,29,1650895000230,1652019163285,20220425,20220508
random,52,21,21,1650687670243,1652023397992,20220423,20220508
random,53,121,121,1650664722892,1652007629213,20220423,20220508
random,54,18,18,1651758063448,1652019551216,20220505,20220508
random,55,32,32,1651578135444,1652009918092,20220503,20220508
random,56,20,20,1651284820135,1651996311573,20220430,20220508
random,57,26,26,1651236052932,1652009751601,20220429,20220508
random,58,72,72,1650622292888,1651129374135,20220422,20220428
random,59,98,98,1650609133350,1651902420613,20220422,20220507
random,60,15,15,1650679031698,1651484375491,20220423,20220502
random,61,220,220,1650617158288,1652007180205,20220422,20220508
random,62,49,49,1650718304415,1651657598826,20220423,20220504
random,63,42,42,1651890815270,1652024062698,20220507,20220508
random,64,17,17,1650628982662,1651988934706,20220422,20220508
random,65,13,13,1650801703293,1651915410375,20220424,20220507
random,66,13,13,1650807856947,1651930469103,20220424,20220507
random,67,15,15,1650797588776,1651640902210,20220424,20220504
random,68,34,34,1650677347265,1651981798467,20220423,20220508
random,69,19,19,1650685174739,1651670599697,20220423,20220504
random,70,174,174,1651232174158,1652011255335,20220429,20220508
random,71,11,11,1650718968464,1651904933245,20220423,20220507
random,72,47,47,1650718718730,1651923800548,20220423,20220507
random,73,13,13,1650655985769,1651931181497,20220423,20220507
random,74,67,67,1651146051480,1652005390430,20220428,20220508
random,75,60,60,1650687717976,1651977616316,20220423,20220508
random,76,49,49,1651389238532,1652004661557,20220501,20220508
random,77,21,21,1651575743863,1652004509699,20220503,20220508
random,78,29,29,1650713553420,1652017568826,20220423,20220508
random,79,14,14,1651494481886,1652017769481,20220502,20220508
random,80,10,10,1651325587857,1652015683255,20220430,20220508
random,81,64,64,1651234618382,1652016006786,20220429,20220508
random,82,10,10,1651257035102,1652021924632,20220430,20220508
random,83,97,97,1650642360548,1652008110259,20220422,20220508
random,84,20,20,1651743046720,1652022607193,20220505,20220508
random,85,27,27,1650637263767,1651625457381,20220422,20220504
random,86,56,56,1650946939991,1652019862719,20220426,20220508
random,87,25,25,1650620627319,1651978344371,20220422,20220508
random,88,67,67,1651414829840,1651977502671,20220501,20220508
random,89,15,15,1650699343588,1651055692170,20220423,20220427
random,90,31,31,1651321923748,1652018317513,20220430,20220508
random,91,20,20,1651413193652,1652013463034,20220501,20220508
random,92,25,25,1651191319128,1652007081145,20220429,20220508
random,93,54,54,1651129940448,1651989676681,20220428,20220508
random,94,11,11,1651099307916,1651646688788,20220428,20220504
random,95,12,12,1650636183842,1652001414087,20220422,20220508
random,96,11,11,1651552812390,1651981101894,20220503,20220508
random,97,42,42,1650632385966,1651936489529,20220422,20220507
random,98,22,22,1651141216081,1651980243032,20220428,20220508
random,99,64,64,1650695971010,1652012489749,20220423,20220508
random,100,38,38,1650759362228,1651802609284,20220424,20220506
random,101,20,20,1651185972654,1651995744478,20220429,20220508
random,102,14,14,1651406931008,1651873899292,20220501,20220507
random,103,38,38,1650622692042,1652011921849,20220422,20220508
random,104,86,86,1651375220476,1652011563505,20220501,20220508
random,105,52,52,1650678458254,1651994320406,20220423,20220508
random,106,15,15,1650648940109,1651935513999,20220423,20220507
random,107,34,34,1651560359488,1652023110475,20220503,20220508
random,108,12,12,1651287402024,1651906671001,20220430,20220507
random,109,12,12,1651069975947,1651996827744,20220427,20220508
random,110,54,54,1650625953786,1652007475036,20220422,20220508
random,111,31,31,1650647060490,1651825391749,20220423,20220506
random,112,123,123,1650616257379,1651707586108,20220422,20220505
random,113,99,99,1650825927866,1652006564165,20220425,20220508
random,114,88,88,1650615592838,1652015385337,20220422,20220508
random,115,22,22,1651073904707,1651980684750,20220427,20220508
random,116,11,11,1650809341337,1651880553307,20220424,20220507
random,117,15,15,1650629939459,1652014452056,20220422,20220508
