policy,tab,interactions,users,items,is_click_rate,long_view_rate,is_like_rate,is_hate_rate,play_time_ms_median,duration_non_positive_count,duration_zero_count,duration_negative_count,policy_interactions,policy_share,duration_non_positive_share
random,1,1178025,27000,7537,0.17728571125400563,0.08534793404214681,0.004814838394770909,0.001132403811464103,2102.0,36632,36632,0,1186059,0.9932263066171244,0.03109611425903525
random,11,6755,304,4378,0.0,0.023686158401184307,0.0023686158401184307,0.001628423390081421,0.0,239,239,0,1186059,0.005695332188364997,0.03538119911176906
random,2,764,190,725,0.11387434554973822,0.04581151832460733,0.0,0.007853403141361256,1573.0,30,30,0,1186059,0.0006441500802236651,0.03926701570680628
random,14,515,38,498,0.0,0.062135922330097085,0.005825242718446602,0.0,1565.0,19,19,0,1186059,0.00043421111428689467,0.036893203883495145
standard,1,215925023,27088,20231074,0.4436419904885225,0.31236915510250984,0.020806620453619216,0.0004687784611235169,4959.0,16767533,16767533,0,322278385,0.6699953613085159,0.07765442266503776
standard,0,63923841,26458,15544845,0.11598146926121038,0.03802945758531625,0.004729612540022431,0.0004990939139592691,0.0,8838776,8838776,0,322278385,0.1983497621163765,0.13827041463293796
standard,4,24510543,22219,4296333,0.5444773704115816,0.4119142117740925,0.01311023586870352,0.0004312429961261976,8147.0,682697,682697,0,322278385,0.07605394634207317,0.027853197703535167
standard,2,9949649,4536,3501714,0.42421395970852843,0.333143912915923,0.019846629765532434,0.0009922963111563031,5000.0,747285,747285,0,322278385,0.03087283995170821,0.075106669592063
standard,6,5268393,22626,287024,0.1777213658889912,0.08463814297832375,0.007936196103821413,0.0002902213255541111,2128.0,157726,157726,0,322278385,0.016347335859958463,0.029938161408991318
standard,3,957605,17674,219637,0.021139196223912783,0.0035985609933114385,0.0007017507218529561,0.0003738493428919022,0.0,49582,49582,0,322278385,0.002971359683337125,0.05177708971862093
standard,8,478050,4348,132353,0.040481121221629536,0.02029494822717289,0.0007677021232088693,0.0003430603493358435,0.0,0,0,0,322278385,0.001483344903816618,0.0
standard,5,429129,2713,107251,0.23650930139888005,0.12276261916579863,0.007874089143357825,0.0012117568376875019,2450.0,11980,11980,0,322278385,0.0013315475687269564,0.027917013299031294
standard,12,332086,2389,95321,0.12236589317225056,0.08882638834518769,0.0018248285082779763,9.033804496425625e-6,0.0,0,0,0,322278385,0.001030432121595744,0.0
standard,11,217754,358,159996,0.0005924116204524372,0.11242503007981483,0.004789808683192961,0.000339833022585119,0.0,12122,12122,0,322278385,0.0006756705076575334,0.055668322969956927
standard,7,114704,1915,82673,0.4413882689356954,0.23131712930673734,0.027470707211605525,0.00011333519319291394,0.0,5568,5568,0,322278385,0.0003559158955075439,0.04854233505370344
standard,13,72217,95,63398,0.3630585596189263,0.2933658279906393,0.003627954636719886,0.0,2551.0,0,0,0,322278385,0.0002240826669154371,0.0
standard,9,60678,2081,37047,0.9923365964600019,0.2358515442170144,0.013893008998318995,0.000016480437720425855,2202.0,0,0,0,322278385,0.00018827821791399382,0.0
standard,10,23722,1281,18451,0.9996627603068882,0.6205210353258579,0.020740241126380576,0.0,53798.0,0,0,0,322278385,0.0000736071703971087,0.0
standard,14,14991,55,14572,0.00026682676272430126,0.27122940430925224,0.01394169835234474,0.00020012007204322593,2692.0,737,737,0,322278385,0.00004651568549966514,0.04916283103195251
