user_id,interactions,unique_videos,first_time_ms,last_time_ms,first_date,last_date
0,15601,14940,1649467982289,1652017575988,20220409,20220508
1,1760,1751,1649407952855,1652023255023,20220408,20220508
2,10321,10046,1649379208044,1652022968911,20220408,20220508
3,10093,9848,1649404870725,1652023808894,20220408,20220508
4,19003,17337,1649384933443,1652018745378,20220408,20220508
5,6048,5939,1649362918620,1652015075697,20220408,20220508
6,19802,19043,1649370739940,1652017786917,20220408,20220508
7,15988,15436,1649346604293,1652003378841,20220408,20220508
8,5626,5433,1649392008421,1652017663844,20220408,20220508
9,449,448,1649426068159,1652022305135,20220408,20220508
10,2588,2488,1649851716720,1652013948846,20220413,20220508
11,5061,4958,1649416126705,1651982980188,20220408,20220508
12,1190,1169,1649380766321,1651943182889,20220408,20220508
13,4389,4320,1649407004021,1651997488208,20220408,20220508
14,9661,9508,1649367915422,1652011816221,20220408,20220508
15,30882,29706,1649346739864,1652024115932,20220408,20220508
16,37318,35746,1649369057205,1652021486329,20220408,20220508
17,669,664,1649419028401,1651993741511,20220408,20220508
18,5987,5807,1649400794885,1652015460960,20220408,20220508
19,12075,11890,1649347091840,1652024376873,20220408,20220508
20,3806,3684,1649410538775,1651900450995,20220408,20220507
21,25150,24490,1649373434122,1652019945867,20220408,20220508
22,16204,15755,1649346478969,1652017819502,20220408,20220508
23,13068,12905,1649390992162,1651998421996,20220408,20220508
24,10256,9914,1650023184243,1651985655937,20220415,20220508
25,2328,2273,1650370265258,1652022269541,20220419,20220508
26,31807,30696,1649346618257,1652023999530,20220408,20220508
27,14678,14324,1649403467509,1652017607119,20220408,20220508
28,4135,4063,1649411268750,1651932213738,20220408,20220507
29,17021,16738,1649383980767,1652023854434,20220408,20220508
30,3222,3189,1649364916332,1651993854541,20220408,20220508
31,17657,17492,1649379863611,1652016455658,20220408,20220508
32,1911,1896,1649404758156,1651935994789,20220408,20220507
33,16834,16151,1649346427906,1651998502682,20220408,20220508
34,7099,6921,1649413766882,1651984961428,20220408,20220508
35,9724,9464,1649391276975,1652018526130,20220408,20220508
36,7813,7704,1649368127901,1652018921115,20220408,20220508
37,1552,1542,1649417995497,1652008871851,20220408,20220508
38,1869,1777,1649391196457,1652020784075,20220408,20220508
39,37622,36404,1649353144777,1652020095224,20220408,20220508
40,4317,4274,1649363447341,1651993736241,20220408,20220508
41,5801,5704,1649372817856,1652019261695,20220408,20220508
42,2238,2197,1649391246580,1652018287230,20220408,20220508
43,1604,1604,1649395962201,1652023429251,20220408,20220508
44,4874,4646,1649394477578,1651973565337,20220408,20220508
45,8268,8109,1649390793308,1652019217799,20220408,20220508
46,23826,22525,1649349719671,1652025078823,20220408,20220508
47,23808,22499,1649372759018,1652024611441,20220408,20220508
48,5817,5747,1649381321529,1652019676250,20220408,20220508
49,7443,7371,1649346796311,1652017497965,20220408,20220508
50,13643,13397,1649488899770,1651742152201,20220409,20220505
51,3135,3100,1649346879592,1652021529484,20220408,20220508
52,5905,5765,1649367077001,1652024017262,20220408,20220508
53,16053,15671,1649346346449,1652022173930,20220408,20220508
54,27095,26128,1649376729634,1652023856586,20220408,20220508
55,9506,9199,1649371364256,1652015810408,20220408,20220508
56,9744,9531,1649379700041,1652017849878,20220408,20220508
57,11100,10904,1649386302203,1652012959355,20220408,20220508
58,22959,22652,1649377721974,1652022654207,20220408,20220508
59,6135,6028,1649417562458,1652015307294,20220408,20220508
60,11963,11934,1649373708688,1652025083979,20220408,20220508
61,8801,8571,1649347727638,1652007543233,20220408,20220508
62,17786,17390,1649413499682,1651743047395,20220408,20220505
63,2501,2409,1651288750189,1652024800828,20220430,20220508
64,9053,8953,1649506564948,1651991606440,20220409,20220508
65,15876,15186,1649346329600,1652022520311,20220408,20220508
66,7105,6941,1649369097234,1652018342986,20220408,20220508
67,6840,6659,1649378575752,1652022545249,20220408,20220508
68,58139,56620,1649346305146,1652022586369,20220408,20220508
69,14960,14435,1649369317066,1652019864479,20220408,20220508
70,15176,14803,1649351421675,1652022099917,20220408,20220508
71,72471,63558,1649376287379,1652016571677,20220408,20220508
72,1276,1246,1649943139700,1652021756536,20220414,20220508
73,19559,19124,1649355599470,1652023749132,20220408,20220508
74,6883,6760,1649347524836,1652024677315,20220408,20220508
75,68119,65838,1649362757387,1652020412387,20220408,20220508
76,24314,24037,1649348035096,1652021295173,20220408,20220508
77,3881,3774,1649392052675,1652009154150,20220408,20220508
78,1713,1694,1649417914504,1652018038620,20220408,20220508
79,7569,7306,1649348182188,1652023149489,20220408,20220508
80,13420,13127,1649377262245,1652015972333,20220408,20220508
81,8813,8728,1649374630783,1652016501542,20220408,20220508
82,28440,27418,1649415198653,1652022064397,20220408,20220508
83,15556,15138,1649432147908,1652023725102,20220408,20220508
84,13178,12828,1649368855041,1652022958151,20220408,20220508
85,13339,12863,1649371171046,1651633586676,20220408,20220504
86,2814,2731,1649424340525,1652024929003,20220408,20220508
87,1865,1835,1649391140206,1651980087720,20220408,20220508
88,2719,2653,1649373393818,1652000045530,20220408,20220508
89,14703,14452,1649383203426,1652013953521,20220408,20220508
90,7651,7529,1649369269550,1652018700431,20220408,20220508
91,5749,5588,1649380077698,1652013650184,20220408,20220508
92,1692,1656,1649370561512,1652008174416,20220408,20220508
93,991,978,1649401759454,1651990161749,20220408,20220508
94,20100,19569,1649346465868,1652025077641,20220408,20220508
95,2273,2243,1649346544825,1652001414087,20220408,20220508
96,3378,3275,1649374845539,1652010175910,20220408,20220508
97,5129,4856,1649422245756,1651937971455,20220408,20220507
98,14402,13974,1649347712293,1652023339309,20220408,20220508
99,9566,9498,1649391299359,1652016045777,20220408,20220508
100,25413,25009,1649375553087,1652010901873,20220408,20220508
101,10697,10656,1649370729308,1652019011548,20220408,20220508
102,7106,6940,1649396237761,1651962339635,20220408,20220508
103,2270,2233,1649372325743,1652011921849,20220408,20220508
