rank,array_index,combination_id,display_name,status,n_aux_targets,active_targets,best_epoch,HR@5,HR@10,HR@20,HR@50,NDCG@5,NDCG@10,NDCG@20,NDCG@50,Recall@5,Recall@10,Recall@20,Recall@50,delta_NDCG10_vs_primary,relative_delta_pct,runtime_sec,run_id
13,0,0000,primary_only,completed,0,,11,0.0657,0.1076,0.1756,0.3153,0.0454,0.0588,0.0759,0.1034,0.0657,0.1076,0.1756,0.3153,0.0,0.0,632.7277541360818,target_combo_0000_primary_only_002
5,1,1000,click,completed,1,is_click,17,0.0656,0.1086,0.1769,0.3185,0.0455,0.0592,0.0764,0.1043,0.0656,0.1086,0.1769,0.3185,0.0004000000000000045,0.6802721088435452,1153.2670264679473,target_combo_1000_click_002
9,2,0100,long_view,completed,1,long_view,12,0.0668,0.1081,0.1746,0.3124,0.0457,0.0589,0.0755,0.1026,0.0668,0.1081,0.1746,0.3124,0.00010000000000000286,0.17006802721088923,934.1395485090325,target_combo_0100_long_view_002
6,3,0010,like,completed,1,is_like,11,0.0669,0.1075,0.1769,0.3151,0.046,0.059,0.0764,0.1037,0.0669,0.1075,0.1769,0.3151,0.0001999999999999988,0.34013605442176664,892.7743208439788,target_combo_0010_like_002
14,4,0001,profile_enter,completed,1,is_profile_enter,11,0.0663,0.1071,0.1735,0.3148,0.0457,0.0588,0.0754,0.1033,0.0663,0.1071,0.1735,0.3148,0.0,0.0,892.5727083799429,target_combo_0001_profile_enter_002
4,5,1100,click + long_view,completed,2,is_click;long_view,12,0.0662,0.1081,0.1764,0.3159,0.0459,0.0593,0.0764,0.1039,0.0662,0.1081,0.1764,0.3159,0.0005000000000000004,0.8503401360544226,1061.5410742040258,target_combo_1100_click_long_view_002
10,6,1010,click + like,completed,2,is_click;is_like,6,0.0656,0.1077,0.1748,0.3107,0.0454,0.0589,0.0757,0.1025,0.0656,0.1077,0.1748,0.3107,0.00010000000000000286,0.17006802721088923,668.0847799929325,target_combo_1010_click_like_002
7,7,1001,click + profile_enter,completed,2,is_click;is_profile_enter,12,0.0671,0.1088,0.1751,0.3148,0.0456,0.059,0.0756,0.1031,0.0671,0.1088,0.1751,0.3148,0.0001999999999999988,0.34013605442176664,928.3233693649527,target_combo_1001_click_profile_enter_002
16,8,0110,long_view + like,completed,2,long_view;is_like,12,0.0653,0.1069,0.1766,0.3138,0.0451,0.0584,0.0759,0.103,0.0653,0.1069,0.1766,0.3138,-0.0003999999999999976,-0.6802721088435333,949.3155957710696,target_combo_0110_long_view_like_002
8,9,0101,long_view + profile_enter,completed,2,long_view;is_profile_enter,21,0.0664,0.1087,0.1759,0.3166,0.0455,0.059,0.0759,0.1036,0.0664,0.1087,0.1759,0.3166,0.0001999999999999988,0.34013605442176664,1326.187467749929,target_combo_0101_long_view_profile_enter_002
1,10,0011,like + profile_enter,completed,2,is_like;is_profile_enter,17,0.0658,0.1093,0.1784,0.3187,0.0456,0.0595,0.0768,0.1044,0.0658,0.1093,0.1784,0.3187,0.0006999999999999992,1.1904761904761891,1148.7522895160364,target_combo_0011_like_profile_enter_002
11,11,1110,click + long_view + like,completed,3,is_click;long_view;is_like,17,0.0655,0.1078,0.1751,0.3166,0.0454,0.0589,0.0758,0.1036,0.0655,0.1078,0.1751,0.3166,0.00010000000000000286,0.17006802721088923,1142.1583177139983,target_combo_1110_click_long_view_like_002
15,12,1101,click + long_view + profile_enter,completed,3,is_click;long_view;is_profile_enter,13,0.0645,0.1077,0.1761,0.3157,0.0449,0.0587,0.0759,0.1035,0.0645,0.1077,0.1761,0.3157,-9.999999999999593e-05,-0.17006802721087744,983.0319873460103,target_combo_1101_click_long_view_profile_enter_002
2,13,1011,click + like + profile_enter,completed,3,is_click;is_like;is_profile_enter,17,0.0665,0.1092,0.178,0.3202,0.0458,0.0595,0.0768,0.1048,0.0665,0.1092,0.178,0.3202,0.0006999999999999992,1.1904761904761891,1145.6788984780433,target_combo_1011_click_like_profile_enter_002
3,14,0111,long_view + like + profile_enter,completed,3,long_view;is_like;is_profile_enter,12,0.0667,0.1099,0.1774,0.3143,0.0456,0.0594,0.0763,0.1033,0.0667,0.1099,0.1774,0.3143,0.0006000000000000033,1.0204081632653117,936.0918648130028,target_combo_0111_long_view_like_profile_enter_002
12,15,1111,click + long_view + like + profile_enter,completed,4,is_click;long_view;is_like;is_profile_enter,9,0.0667,0.1088,0.1756,0.312,0.0454,0.0589,0.0756,0.1025,0.0667,0.1088,0.1756,0.312,0.00010000000000000286,0.17006802721088923,806.9868098800071,target_combo_1111_click_long_view_like_profile_enter_002
